id,organisation,question,score,quotes,language
0,50 Welsh Local Government Association WGLA,,0.45,"30th November 2023 Fin ance Committee and Local Government & Housing Committee: Scrutiny of Welsh Government’s Draft Budget Pro posals 24-25 Jon Rae, Director of Resources Welsh Local Government Association - The Voice of Welsh Councils The Welsh Local Government Association (WLGA) is a politically led cross party organisation that seeks to give local government a strong voice at a national level.",?
1,50 Welsh Local Government Association WGLA,,0.46,We represent the interests of local government and promote local democracy in Wales.,?
2,50 Welsh Local Government Association WGLA,,0.48,The 22 councils in Wales are our members and the 3 fire and rescue authorities and 3 national park authorities are associate members.,?
3,50 Welsh Local Government Association WGLA,,0.17,"We believe that the ideas that change people’s lives, happen locally.",?
4,50 Welsh Local Government Association WGLA,,0.35,Communities are at their best when they feel connected to their council through local democracy.,?
5,50 Welsh Local Government Association WGLA,,0.22,"By championing, facilitating, and achieving these connections, we can build a vibrant local democracy that allows communities to thrive.",?
6,50 Welsh Local Government Association WGLA,,0.53,"Our ultimate goal is to promote, protect, support and develop democratic local government and the interests of councils in Wales.",?
7,50 Welsh Local Government Association WGLA,,0.47,"We’ll achieve our vision by • Promoting the role and prominence of councillors and council leaders • Ensuring maximum local discretion in legislation or statutory guidance • Championing and securing long-term and sustainable funding for councils • Promoting sector-led improvement • Encouraging a vibrant local democracy, promoting greater diversity • Supporting councils to effectively manage their workforce Overview 1.",?
8,50 Welsh Local Government Association WGLA,,0.14,This evidence paper addresses the questions posed by the committee in annex 2 of the commissioning letter.,?
9,50 Welsh Local Government Association WGLA,,0.51,It is largely based on the paper that we presented to Welsh Government in a meeting of the Finance Sub Group on 25th October.,?
10,50 Welsh Local Government Association WGLA,,0.44,Most of it comprised our assessment of local government spending pressures that have remained persistently high over the current financial year.,?
11,50 Welsh Local Government Association WGLA,,0.37,We have updated our estimates of the pressures in 23-24 and 24-25 based on local authorities’ medium-term financial plans.,?
12,50 Welsh Local Government Association WGLA,,0.58,These are based on the results of a full survey of councils and fire services carried out during August/September with the help of the Society of Welsh Treasurers (SWT).,?
13,50 Welsh Local Government Association WGLA,,0.25,"Since the Finance Sub Group paper was presented to the group, we have become aware of two further developments.",?
